date,pick_type,rank,confidence_score,team,opponent,game_id,player,market,side,line,american_odds,book,projected_value,edge,edge_pct,feature_score,learning_adjustment,top_factors,risk_flags,notes,actual_value,team_score,opponent_score,result,result_margin,graded_at
2026-01-01,prop,1,71.31,AAA,BBB,EX1,Example Guard,points,over,24.5,-112,ExampleBook,29.1,4.60,0.188,0.609,0.00,projection_edge=+3.20; matchup=+1.01; volume_stability=+0.80; recent_form=+0.76; injury_usage=+0.62,,High usage with teammate out,31.00,,,win,6.50,2026-05-13T18:33:01+00:00
2026-01-01,prop,2,67.53,DDD,CCC,EX2,Example Shooter,threes,over,2.5,110,ExampleBook,3.4,0.90,0.360,0.501,0.00,projection_edge=+3.20; recent_form=+1.20; trend=+0.70; matchup=+0.63; minutes_security=+0.50,,Good shot diet but news risk,3.00,,,win,0.50,2026-05-13T18:33:01+00:00
2026-01-01,prop,3,66.52,BBB,AAA,EX1,Example Center,rebounds,over,10.5,-105,ExampleBook,12.3,1.80,0.171,0.472,0.00,projection_edge=+3.05; recent_form=+0.97; matchup=+0.72; volume_stability=+0.62; trend=+0.52,,Opponent weak on defensive glass,9.00,,,loss,-1.50,2026-05-13T18:33:01+00:00
2026-01-01,prop,4,66.48,CCC,DDD,EX2,Example Wing,assists,under,5.5,-118,ExampleBook,4.1,1.40,0.255,0.471,0.00,projection_edge=+3.20; recent_form=+1.20; matchup=+1.01; trend=+0.57; minutes_security=+0.50,,Lower on-ball role,4.00,,,win,1.50,2026-05-13T18:33:01+00:00
2026-01-01,prop,5,64.35,FFF,EEE,EX3,Example Forward,points,under,19.5,-108,ExampleBook,16.9,2.60,0.133,0.410,0.00,projection_edge=+2.37; matchup=+1.11; recent_form=+0.74; volume_stability=+0.72; defense_rating=+0.53,,Tough individual matchup,18.00,,,win,1.50,2026-05-13T18:33:01+00:00
2026-01-01,spread,1,59.48,AAA,BBB,EX1,,spread,team,-3.5,-110,ExampleBook,6.40,2.90,0.829,0.271,0.00,projection_edge=+1.41; power_rating=+0.67; consensus_edge=-0.60; rest_advantage=+0.40; injury_net_rating=+0.32,,Home team has healthier rotation,7.00,116,109,win,3.50,2026-05-13T18:33:01+00:00
2026-05-13,prop,1,70.06,CLE,DET,CLE-DET-G5,Donovan Mitchell,assists,under,3.5,-105,BetMGM,2.7,0.80,0.229,0.573,0.00,projection_edge=+3.20; matchup=+1.40; recent_form=+1.20; defense_rating=+0.70; trend=+0.70,,BetMGM notes Mitchell has not topped three assists in any Cleveland playoff loss and Detroit allows the fewest assists,3.00,,,win,0.50,2026-05-14T18:41:24+00:00
2026-05-13,prop,2,69.32,CLE,DET,CLE-DET-G5,Jarrett Allen,rebounds,under,7.5,100,Action Network,5.4,2.10,0.280,0.552,0.00,projection_edge=+3.20; recent_form=+1.20; matchup=+1.11; defense_rating=+0.70; trend=+0.70,,Averaging 4.8 rebounds in series; stayed under 7.5 in 9 of 11 playoff games,10.00,,,loss,-2.50,2026-05-14T18:41:24+00:00
2026-05-13,prop,3,67.99,DET,CLE,CLE-DET-G5,Jalen Duren,rebounds,under,9.5,-115,DraftKings,7.4,2.10,0.221,0.514,0.00,projection_edge=+3.20; recent_form=+1.20; matchup=+0.82; trend=+0.70; volume_stability=+0.51,,Action Network notes 32% rebounding rate and only six combined rebounds over last two games,5.00,,,win,4.50,2026-05-14T18:41:24+00:00
2026-05-13,prop,4,67.43,DET,CLE,CLE-DET-G5,Jalen Duren,points,under,12.5,-115,Bovada,10.0,2.50,0.200,0.498,0.00,projection_edge=+3.20; recent_form=+1.10; matchup=+0.72; volume_stability=+0.72; trend=+0.70,,Under 12.5 points in all four games of this series; Cleveland has focused on suffocating Duren,9.00,,,win,3.50,2026-05-14T18:41:24+00:00
2026-05-13,prop,5,62.74,DET,CLE,CLE-DET-G5,Tobias Harris,points,over,18.5,-108,FanDuel,21.2,2.70,0.146,0.364,0.00,projection_edge=+2.59; recent_form=+0.81; volume_stability=+0.77; matchup=+0.53; trend=+0.44,,Harris confirmed active; over this number in eight of last nine before Game 4 miss,13.00,,,loss,-5.50,2026-05-14T18:41:24+00:00
2026-05-13,spread,1,56.65,DET,CLE,CLE-DET-G5,,spread,team,-3.5,-112,FanDuel,6.80,3.30,0.943,0.190,0.00,projection_edge=+1.60; consensus_edge=-0.60; schedule_spot=+0.48; power_rating=+0.41; motivation=+0.38,,"Harris confirmed active; FanDuel listed Pistons -3.5, home team has won every game, and Cleveland is winless on road this postseason",-4.00,113,117,loss,-7.50,2026-05-14T18:41:24+00:00
